日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/30,1.576,1.576,1.576,--,4.65,开放申购|开放赎回
2020/7/24,1.506,1.506,1.506,--,-1.31,开放申购|开放赎回
2020/7/17,1.526,1.526,1.526,--,-3.6,开放申购|开放赎回
2020/7/10,1.583,1.583,1.583,--,5.82,开放申购|开放赎回
2020/7/3,1.496,1.496,1.496,--,5.5,开放申购|开放赎回
2020/6/24,1.418,1.418,1.418,--,1.65,开放申购|开放赎回
2020/6/19,1.395,1.395,1.395,--,3.41,开放申购|开放赎回
2020/6/12,1.349,1.349,1.349,--,-0.81,开放申购|开放赎回
2020/6/5,1.36,1.36,1.36,--,6.92,开放申购|开放赎回
2020/5/29,1.272,1.272,1.272,--,0.95,开放申购|开放赎回
2020/5/22,1.26,1.26,1.26,--,-3.96,开放申购|开放赎回
2020/5/15,1.312,1.312,1.312,--,-0.3,开放申购|开放赎回
2020/5/8,1.316,1.316,1.316,--,1.62,开放申购|开放赎回
2020/4/30,1.295,1.295,1.295,--,3.93,暂停申购|暂停赎回
2020/4/24,1.246,1.246,1.246,--,-2.12,开放申购|开放赎回
2020/4/17,1.273,1.273,1.273,--,2.83,开放申购|开放赎回
2020/4/10,1.238,1.238,1.238,--,3.69,暂停申购|暂停赎回
2020/4/3,1.194,1.194,1.194,--,-0.58,暂停申购|暂停赎回
2020/3/27,1.201,1.201,1.201,--,4.34,开放申购|开放赎回
2020/3/20,1.151,1.151,1.151,--,-7.48,开放申购|开放赎回
2020/3/13,1.244,1.244,1.244,--,-9.59,开放申购|开放赎回
2020/3/6,1.376,1.376,1.376,--,1.55,开放申购|开放赎回
2020/2/28,1.355,1.355,1.355,--,-5.05,暂停申购|暂停赎回
2020/2/21,1.427,1.427,1.427,--,-0.77,开放申购|开放赎回
2020/2/14,1.438,1.438,1.438,--,1.13,开放申购|开放赎回
2020/2/7,1.422,1.422,1.422,--,0.28,开放申购|开放赎回
