日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,3.027,3.027,3.027,--,5.91,开放申购|开放赎回
2020/7/24,2.858,2.858,2.858,--,-1.99,开放申购|开放赎回
2020/7/17,2.916,2.916,2.916,--,-6.45,开放申购|开放赎回
2020/7/10,3.117,3.117,3.117,--,11.52,开放申购|开放赎回
2020/7/3,2.795,2.795,2.795,--,2.42,开放申购|开放赎回
2020/6/24,2.729,2.729,2.729,--,2.4,开放申购|开放赎回
2020/6/19,2.665,2.665,2.665,--,3.78,开放申购|开放赎回
2020/6/12,2.568,2.568,2.568,--,1.06,开放申购|开放赎回
2020/6/5,2.541,2.541,2.541,--,4.48,开放申购|开放赎回
2020/5/29,2.432,2.432,2.432,--,0.87,开放申购|开放赎回
2020/5/22,2.411,2.411,2.411,--,-4.44,开放申购|开放赎回
2020/5/15,2.523,2.523,2.523,--,1.2,开放申购|开放赎回
2020/5/8,2.493,2.493,2.493,--,3.49,开放申购|开放赎回
2020/4/30,2.409,2.409,2.409,--,4.47,开放申购|开放赎回
2020/4/24,2.306,2.306,2.306,--,-1.24,开放申购|开放赎回
2020/4/17,2.335,2.335,2.335,--,2.19,开放申购|开放赎回
2020/4/10,2.285,2.285,2.285,--,0.62,开放申购|开放赎回
2020/4/3,2.271,2.271,2.271,--,-0.26,开放申购|开放赎回
2020/3/27,2.277,2.277,2.277,--,-3.8,开放申购|开放赎回
2020/3/20,2.367,2.367,2.367,--,-3.51,开放申购|开放赎回
2020/3/13,2.453,2.453,2.453,--,-5.87,开放申购|开放赎回
2020/3/6,2.606,2.606,2.606,--,2.72,开放申购|开放赎回
2020/2/28,2.537,2.537,2.537,--,-7.85,开放申购|开放赎回
2020/2/21,2.753,2.753,2.753,--,8.34,开放申购|开放赎回
2020/2/14,2.541,2.541,2.541,--,3.88,开放申购|开放赎回
2020/2/7,2.446,2.446,2.446,--,1.83,开放申购|开放赎回
2020/1/23,2.402,2.402,2.402,--,0.08,开放申购|开放赎回
2020/1/17,2.4,2.4,2.4,--,2.56,开放申购|开放赎回
2020/1/10,2.34,2.34,2.34,--,2.41,开放申购|开放赎回
2020/1/3,2.285,2.285,2.285,--,4.96,开放申购|开放赎回
2019/12/27,2.177,2.177,2.177,--,-0.18,开放申购|开放赎回
2019/12/20,2.181,2.181,2.181,--,1.11,开放申购|开放赎回
2019/12/13,2.157,2.157,2.157,--,2.57,开放申购|开放赎回
2019/12/6,2.103,2.103,2.103,--,4.42,开放申购|开放赎回
2019/11/29,2.014,2.014,2.014,--,-0.15,开放申购|开放赎回
2019/11/22,2.017,2.017,2.017,--,-0.3,开放申购|开放赎回
2019/11/15,2.023,2.023,2.023,--,-0.59,开放申购|开放赎回
2019/11/8,2.035,2.035,2.035,--,2.21,开放申购|开放赎回
2019/11/1,1.991,1.991,1.991,--,1.01,开放申购|开放赎回
2019/10/25,1.971,1.971,1.971,--,1.55,开放申购|开放赎回
2019/10/18,1.941,1.941,1.941,--,-2.32,开放申购|开放赎回
2019/10/11,1.987,1.987,1.987,--,1.43,开放申购|开放赎回
2019/9/30,1.959,1.959,1.959,--,-1.85,开放申购|开放赎回
2019/9/27,1.996,1.996,1.996,--,-3.29,开放申购|开放赎回
2019/9/20,2.064,2.064,2.064,--,1.43,开放申购|开放赎回
2019/9/12,2.035,2.035,2.035,--,1.24,开放申购|开放赎回
2019/9/6,2.01,2.01,2.01,--,8.88,开放申购|开放赎回
2019/8/30,1.846,1.846,1.846,--,1.32,开放申购|开放赎回
2019/8/23,1.822,1.822,1.822,--,3,开放申购|开放赎回
2019/8/16,1.769,1.769,1.769,--,4.99,开放申购|开放赎回
2019/8/9,1.685,1.685,1.685,--,-3.44,开放申购|开放赎回
