日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,2.918,3.1676,3.168,--,5.84,开放申购|开放赎回
2020/7/24,2.757,2.9929,2.993,--,1.62,开放申购|开放赎回
2020/7/17,2.713,2.9451,2.945,--,-1.45,开放申购|开放赎回
2020/7/10,2.753,2.9885,2.989,--,11.05,开放申购|开放赎回
2020/7/3,2.479,2.6911,2.691,--,4.95,开放申购|开放赎回
2020/6/24,2.362,2.5641,2.564,--,0,开放申购|开放赎回
2020/6/19,2.362,2.5641,2.564,--,5.07,开放申购|开放赎回
2020/6/12,2.248,2.4403,2.44,--,1.86,开放申购|开放赎回
2020/6/5,2.207,2.3958,2.396,--,0.73,开放申购|开放赎回
2020/5/29,2.191,2.3784,2.378,--,3.11,开放申购|开放赎回
2020/5/22,2.125,2.3068,2.307,--,-2.48,开放申购|开放赎回
2020/5/15,2.179,2.3654,2.365,--,1.73,开放申购|开放赎回
2020/5/8,2.142,2.3252,2.325,--,2.98,开放申购|开放赎回
2020/4/30,2.08,2.2579,2.258,--,2.51,开放申购|开放赎回
2020/4/24,2.029,2.2026,2.203,--,0.15,开放申购|开放赎回
2020/4/17,2.026,2.1993,2.199,--,2.43,开放申购|开放赎回
2020/4/10,1.978,2.1472,2.147,--,2.49,开放申购|开放赎回
2020/4/3,1.93,2.0951,2.095,--,-0.41,开放申购|开放赎回
2020/3/27,1.938,2.1038,2.104,--,0.73,开放申购|开放赎回
2020/3/20,1.924,2.0886,2.089,--,-2.63,开放申购|开放赎回
2020/3/13,1.976,2.145,2.145,--,-5.32,开放申购|开放赎回
2020/3/6,2.087,2.2655,2.266,--,5.51,开放申购|开放赎回
2020/2/28,1.978,2.1472,2.147,--,-4.67,开放申购|开放赎回
2020/2/21,2.075,2.2525,2.253,--,5.06,开放申购|开放赎回
2020/2/14,1.975,2.144,2.144,--,1.96,开放申购|开放赎回
2020/2/7,1.937,2.1027,2.103,--,2.22,开放申购|开放赎回
2020/1/23,1.895,2.0571,2.057,--,-1.86,开放申购|开放赎回
2020/1/17,1.931,2.0962,2.096,--,0.84,开放申购|开放赎回
2020/1/10,1.915,2.0788,2.079,--,1.75,开放申购|开放赎回
2020/1/3,1.882,2.043,2.043,--,4.5,开放申购|开放赎回
2019/12/27,1.801,1.9551,1.955,--,1.41,开放申购|开放赎回
2019/12/20,1.776,1.9279,1.928,--,1.95,开放申购|开放赎回
2019/12/13,1.742,1.891,1.891,--,1.87,开放申购|开放赎回
2019/12/6,1.71,1.8563,1.856,--,1.36,开放申购|开放赎回
2019/11/29,1.687,1.8313,1.831,--,-0.71,开放申购|开放赎回
2019/11/22,1.699,1.8443,1.844,--,-0.41,开放申购|开放赎回
2019/11/15,1.706,1.8519,1.852,--,-2.4,开放申购|开放赎回
2019/11/8,1.748,1.8975,1.898,--,0.46,开放申购|开放赎回
2019/11/1,1.74,1.8889,1.889,--,0.52,开放申购|开放赎回
2019/10/25,1.731,1.8791,1.879,--,-0.8,开放申购|开放赎回
2019/10/18,1.745,1.8943,1.894,--,0.06,开放申购|开放赎回
2019/10/11,1.744,1.8932,1.893,--,2.47,开放申购|开放赎回
2019/9/30,1.702,1.8476,1.848,--,-0.35,开放申购|开放赎回
2019/9/27,1.708,1.8541,1.854,--,-0.81,开放申购|开放赎回
2019/9/20,1.722,1.8693,1.869,--,-0.98,开放申购|开放赎回
2019/9/12,1.739,1.8878,1.888,--,1.93,开放申购|开放赎回
2019/9/6,1.706,1.8519,1.852,--,3.77,开放申购|开放赎回
2019/8/30,1.644,1.7846,1.785,--,-0.3,开放申购|开放赎回
2019/8/23,1.649,1.7901,1.79,--,1.92,开放申购|开放赎回
2019/8/16,1.618,1.7564,1.756,--,0.94,开放申购|开放赎回
2019/8/9,1.603,1.7401,1.74,--,-2.14,开放申购|开放赎回
2019/8/2,1.638,1.7781,1.778,--,-1.97,开放申购|开放赎回
2019/7/26,1.671,1.8139,1.814,--,0.91,开放申购|开放赎回
2019/7/19,1.656,1.7977,1.798,--,-0.18,开放申购|开放赎回
2019/7/12,1.659,1.8009,1.801,--,-1.48,开放申购|开放赎回
2019/7/5,1.684,1.8281,1.828,--,0.72,开放申购|开放赎回
2019/6/28,1.672,1.815,1.815,--,0.3,开放申购|开放赎回
