日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,6.4084,8.1779,7.0284,--,2.5,开放申购|开放赎回
2020/7/24,6.2524,7.9788,6.8724,--,-1.1,开放申购|开放赎回
2020/7/17,6.322,8.0676,6.942,--,-0.79,开放申购|开放赎回
2020/7/10,6.3724,8.1319,6.9924,--,6.62,开放申购|开放赎回
2020/7/3,5.977,7.6274,6.597,--,4.98,开放申购|开放赎回
2020/6/24,5.6936,7.2657,6.3136,--,0.45,开放申购|开放赎回
2020/6/19,5.6683,7.2334,6.2883,--,2.05,开放申购|开放赎回
2020/6/12,5.5543,7.0879,6.1743,--,-0.83,开放申购|开放赎回
2020/6/5,5.601,7.1475,6.221,--,1.61,开放申购|开放赎回
2020/5/29,5.5121,7.0341,6.1321,--,3.28,开放申购|开放赎回
2020/5/22,5.3372,6.8109,5.9572,--,-1.35,开放申购|开放赎回
2020/5/15,5.4101,6.9039,6.0301,--,1.24,开放申购|开放赎回
2020/5/8,5.3436,6.8191,5.9636,--,2.52,开放申购|开放赎回
2020/4/30,5.2123,6.6515,5.8323,--,1.67,开放申购|开放赎回
2020/4/24,5.1268,6.5424,5.7468,--,0.41,开放申购|开放赎回
2020/4/17,5.1061,6.516,5.7261,--,1.04,开放申购|开放赎回
2020/4/10,5.0536,6.449,5.6736,--,2.14,开放申购|开放赎回
2020/4/3,4.9479,6.3141,5.5679,--,0.73,开放申购|开放赎回
2020/3/27,4.9122,6.2685,5.5322,--,2.29,开放申购|开放赎回
2020/3/20,4.8022,6.1282,5.4222,--,-5.6,开放申购|开放赎回
2020/3/13,5.0871,6.4917,5.7071,--,-4.59,开放申购|开放赎回
2020/3/6,5.3321,6.8044,5.9521,--,5.91,开放申购|开放赎回
2020/2/28,5.0346,6.4247,5.6546,--,-5.18,开放申购|开放赎回
2020/2/21,5.3097,6.7758,5.9297,--,2.7,开放申购|开放赎回
2020/2/14,5.1703,6.5979,5.7903,--,3.75,开放申购|开放赎回
2020/2/7,4.9832,6.3591,5.6032,--,-2.31,开放申购|开放赎回
2020/1/23,5.1012,6.5097,5.7212,--,-4.23,开放申购|开放赎回
2020/1/17,5.3264,6.7971,5.9464,--,-0.43,开放申购|开放赎回
2020/1/10,5.3493,6.8263,5.9693,--,0.94,开放申购|开放赎回
2020/1/3,5.2996,6.7629,5.9196,--,1.23,开放申购|开放赎回
2019/12/27,5.2351,6.6806,5.8551,--,0.57,开放申购|开放赎回
2019/12/20,5.2052,6.6424,5.8252,--,-0.21,开放申购|开放赎回
2019/12/13,5.2163,6.6566,5.8363,--,1.73,开放申购|开放赎回
2019/12/6,5.1275,6.5433,5.7475,--,1.91,开放申购|开放赎回
2019/11/29,5.0316,6.4209,5.6516,--,-1.87,开放申购|开放赎回
2019/11/22,5.1276,6.5434,5.7476,--,-0.21,开放申购|开放赎回
2019/11/15,5.1383,6.5571,5.7583,--,-1.1,开放申购|开放赎回
2019/11/8,5.1952,6.6297,5.8152,--,0.34,开放申购|开放赎回
2019/11/1,5.1774,6.607,5.7974,--,3.15,开放申购|开放赎回
2019/10/25,5.0193,6.4052,5.6393,--,0.16,开放申购|开放赎回
2019/10/18,5.0114,6.3951,5.6314,--,-0.98,开放申购|开放赎回
2019/10/11,5.0608,6.4582,5.6808,--,2.75,开放申购|开放赎回
2019/9/30,4.9255,6.2855,5.5455,--,-1.34,开放申购|开放赎回
2019/9/27,4.9923,6.3708,5.6123,--,-0.73,开放申购|开放赎回
2019/9/20,5.0291,6.4177,5.6491,--,-0.83,开放申购|开放赎回
2019/9/12,5.0713,6.4716,5.6913,--,-1,开放申购|开放赎回
2019/9/6,5.1223,6.5367,5.7423,--,2.7,开放申购|开放赎回
2019/8/30,4.9874,6.3645,5.6074,--,1.4,开放申购|开放赎回
2019/8/23,4.9184,6.2765,5.5384,--,3.33,开放申购|开放赎回
2019/8/16,4.7597,6.0739,5.3797,--,2.63,开放申购|开放赎回
2019/8/9,4.6379,5.9185,5.2579,--,-1.31,开放申购|开放赎回
2019/8/2,4.6996,5.9972,5.3196,--,-2.75,开放申购|开放赎回
2019/7/26,4.8324,6.1667,5.4524,--,1.23,开放申购|开放赎回
2019/7/19,4.7736,6.0917,5.3936,--,-1.71,开放申购|开放赎回
2019/7/12,4.8564,6.1973,5.4764,--,-1.76,开放申购|开放赎回
2019/7/5,4.9435,6.3085,5.5635,--,3.25,开放申购|开放赎回
2019/6/28,4.7879,6.1099,5.4079,--,1.62,开放申购|开放赎回
