日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,1.229,1.229,1.229,--,6.13,开放申购|开放赎回
2020/7/24,1.158,1.158,1.158,--,-2.11,开放申购|开放赎回
2020/7/17,1.183,1.183,1.183,--,-4.6,开放申购|开放赎回
2020/7/10,1.24,1.24,1.24,--,11.61,开放申购|开放赎回
2020/7/3,1.111,1.111,1.111,--,2.49,开放申购|开放赎回
2020/6/24,1.084,1.084,1.084,--,2.46,开放申购|开放赎回
2020/6/19,1.058,1.058,1.058,--,3.93,开放申购|开放赎回
2020/6/12,1.018,1.018,1.018,--,0.99,开放申购|开放赎回
2020/6/5,1.008,1.008,1.008,--,4.24,开放申购|开放赎回
2020/5/29,0.967,0.967,0.967,--,0.94,开放申购|开放赎回
2020/5/22,0.958,0.958,0.958,--,-4.2,开放申购|开放赎回
2020/5/15,1,1,1,--,1.32,开放申购|开放赎回
2020/5/8,0.987,0.987,0.987,--,3.46,开放申购|开放赎回
2020/4/30,0.954,0.954,0.954,--,4.84,开放申购|开放赎回
2020/4/24,0.91,0.91,0.91,--,-0.98,开放申购|开放赎回
2020/4/17,0.919,0.919,0.919,--,2.34,开放申购|开放赎回
2020/4/10,0.898,0.898,0.898,--,0.67,开放申购|开放赎回
2020/4/3,0.892,0.892,0.892,--,-0.22,开放申购|开放赎回
2020/3/27,0.894,0.894,0.894,--,-3.87,开放申购|开放赎回
2020/3/20,0.93,0.93,0.93,--,-3.83,开放申购|开放赎回
2020/3/13,0.967,0.967,0.967,--,-5.75,开放申购|开放赎回
2020/3/6,1.026,1.026,1.026,--,3.01,开放申购|开放赎回
2020/2/28,0.996,0.996,0.996,--,-7.86,开放申购|开放赎回
2020/2/21,1.081,1.081,1.081,--,8.21,开放申购|开放赎回
2020/2/14,0.999,0.999,0.999,--,3.42,开放申购|开放赎回
2020/2/7,0.966,0.966,0.966,--,1.79,开放申购|开放赎回
2020/1/23,0.949,0.949,0.949,--,-0.11,开放申购|开放赎回
2020/1/17,0.95,0.95,0.95,--,2.37,开放申购|开放赎回
2020/1/10,0.928,0.928,0.928,--,2.43,开放申购|开放赎回
2020/1/3,0.906,0.906,0.906,--,5.1,开放申购|开放赎回
2019/12/27,0.862,0.862,0.862,--,0,开放申购|开放赎回
2019/12/20,0.862,0.862,0.862,--,0.94,开放申购|开放赎回
2019/12/13,0.854,0.854,0.854,--,2.52,开放申购|开放赎回
2019/12/6,0.833,0.833,0.833,--,4.26,开放申购|开放赎回
2019/11/29,0.799,0.799,0.799,--,-0.13,开放申购|开放赎回
2019/11/22,0.8,0.8,0.8,--,-0.5,开放申购|开放赎回
2019/11/15,0.804,0.804,0.804,--,-0.86,开放申购|开放赎回
2019/11/8,0.811,0.811,0.811,--,2.14,开放申购|开放赎回
2019/11/1,0.794,0.794,0.794,--,0.89,开放申购|开放赎回
2019/10/25,0.787,0.787,0.787,--,1.55,开放申购|开放赎回
2019/10/18,0.775,0.775,0.775,--,-2.27,开放申购|开放赎回
2019/10/11,0.793,0.793,0.793,--,1.28,开放申购|开放赎回
2019/9/30,0.783,0.783,0.783,--,-1.88,开放申购|开放赎回
2019/9/27,0.798,0.798,0.798,--,-3.51,开放申购|开放赎回
2019/9/20,0.827,0.827,0.827,--,1.47,开放申购|开放赎回
2019/9/12,0.815,0.815,0.815,--,1.49,开放申购|开放赎回
2019/9/6,0.803,0.803,0.803,--,8.66,开放申购|开放赎回
2019/8/30,0.739,0.739,0.739,--,0.54,开放申购|开放赎回
2019/8/23,0.735,0.735,0.735,--,2.94,开放申购|开放赎回
2019/8/16,0.714,0.714,0.714,--,4.69,开放申购|开放赎回
2019/8/9,0.682,0.682,0.682,--,-3.4,开放申购|开放赎回
2019/8/2,0.706,0.706,0.706,--,-1.12,开放申购|开放赎回
2019/7/26,0.714,0.714,0.714,--,3.93,开放申购|开放赎回
2019/7/19,0.687,0.687,0.687,--,0.15,开放申购|开放赎回
2019/7/12,0.686,0.686,0.686,--,-1.86,开放申购|开放赎回
2019/7/5,0.699,0.699,0.699,--,1.75,开放申购|开放赎回
2019/6/28,0.687,0.687,0.687,--,0.29,开放申购|开放赎回
2019/6/21,0.685,0.685,0.685,--,5.06,开放申购|开放赎回
2019/6/14,0.652,0.652,0.652,--,2.35,开放申购|开放赎回
2019/6/6,0.637,0.637,0.637,--,-3.63,开放申购|开放赎回
2019/5/31,0.661,0.661,0.661,--,3.12,开放申购|开放赎回
2019/5/24,0.641,0.641,0.641,--,-2.14,开放申购|开放赎回
2019/5/17,0.655,0.655,0.655,--,-3.11,开放申购|开放赎回
2019/5/10,0.676,0.676,0.676,--,-4.38,开放申购|开放赎回
2019/4/30,0.707,0.707,0.707,--,-1.94,开放申购|开放赎回
2019/4/26,0.721,0.721,0.721,--,-4.76,开放申购|开放赎回
2019/4/19,0.757,0.757,0.757,--,3.13,开放申购|开放赎回
2019/4/12,0.734,0.734,0.734,--,-3.55,开放申购|开放赎回
2019/4/4,0.761,0.761,0.761,--,4.97,开放申购|开放赎回
2019/3/29,0.725,0.725,0.725,--,0,开放申购|开放赎回
2019/3/22,0.725,0.725,0.725,--,4.32,开放申购|开放赎回
