日期,单位净值,复权单位净值,累计单位净值,收盘价,涨跌幅(%),申购状态
2020/7/31,4.215,5.1992,4.703,--,7.8,暂停大额申购|开放赎回
2020/7/24,3.91,4.823,4.398,--,-0.23,暂停大额申购|开放赎回
2020/7/17,3.919,4.8341,4.407,--,-2.29,开放申购|开放赎回
2020/7/10,4.011,4.9475,4.499,--,8.79,开放申购|开放赎回
2020/7/3,3.687,4.5479,4.175,--,6.13,开放申购|开放赎回
2020/6/24,3.474,4.2852,3.962,--,-0.03,开放申购|开放赎回
2020/6/19,3.475,4.2864,3.963,--,3.95,开放申购|开放赎回
2020/6/12,3.343,4.1236,3.831,--,2.99,开放申购|开放赎回
2020/6/5,3.246,4.0039,3.734,--,0.93,开放申购|开放赎回
2020/5/29,3.216,3.9669,3.704,--,6.42,开放申购|开放赎回
2020/5/22,3.022,3.7276,3.51,--,-1.34,开放申购|开放赎回
2020/5/15,3.063,3.7782,3.551,--,2.3,开放申购|开放赎回
2020/5/8,2.994,3.6931,3.482,--,4.1,开放申购|开放赎回
2020/4/30,2.876,3.5475,3.364,--,0.49,开放申购|开放赎回
2020/4/24,2.862,3.5303,3.35,--,2.8,开放申购|开放赎回
2020/4/17,2.784,3.434,3.272,--,1.83,开放申购|开放赎回
2020/4/10,2.734,3.3724,3.222,--,3.8,开放申购|开放赎回
2020/4/3,2.634,3.249,3.122,--,1.62,开放申购|开放赎回
2020/3/27,2.592,3.1972,3.08,--,4.14,开放申购|开放赎回
2020/3/20,2.489,3.0702,2.977,--,-3.75,开放申购|开放赎回
2020/3/13,2.586,3.1898,3.074,--,-5.17,开放申购|开放赎回
2020/3/6,2.727,3.3637,3.215,--,7.19,开放申购|开放赎回
2020/2/28,2.544,3.138,3.032,--,-1.89,开放申购|开放赎回
2020/2/21,2.593,3.1984,3.081,--,3.68,开放申购|开放赎回
2020/2/14,2.501,3.085,2.989,--,3.18,开放申购|开放赎回
2020/2/7,2.424,2.99,2.912,--,1.25,开放申购|开放赎回
2020/1/23,2.394,2.953,2.882,--,-5.26,开放申购|开放赎回
2020/1/17,2.527,3.117,3.015,--,0.04,开放申购|开放赎回
2020/1/10,2.526,3.1158,3.014,--,2.39,开放申购|开放赎回
2020/1/3,2.467,3.043,2.955,--,3.18,开放申购|开放赎回
2019/12/27,2.391,2.9493,2.879,--,0.8,开放申购|开放赎回
2019/12/20,2.372,2.9258,2.86,--,0.13,开放申购|开放赎回
2019/12/13,2.369,2.9221,2.857,--,0.47,开放申购|开放赎回
2019/12/6,2.358,2.9086,2.846,--,2.34,开放申购|开放赎回
2019/11/29,2.304,2.842,2.792,--,-2.46,开放申购|开放赎回
2019/11/22,2.362,2.9135,2.85,--,-1.25,开放申购|开放赎回
2019/11/15,2.392,2.9505,2.88,--,-1.12,开放申购|开放赎回
2019/11/8,2.419,2.9838,2.907,--,1.51,开放申购|开放赎回
2019/11/1,2.383,2.9394,2.871,--,1.53,开放申购|开放赎回
2019/10/25,2.347,2.895,2.835,--,1.56,开放申购|开放赎回
2019/10/18,2.311,2.8506,2.799,--,0.04,开放申购|开放赎回
2019/10/11,2.31,2.8494,2.798,--,3.96,开放申购|开放赎回
2019/9/30,2.222,2.7408,2.71,--,0.27,开放申购|开放赎回
2019/9/27,2.216,2.7334,2.704,--,-1.07,开放申购|开放赎回
2019/9/20,2.24,2.763,2.728,--,0.72,开放申购|开放赎回
2019/9/12,2.224,2.7433,2.712,--,-0.94,开放申购|开放赎回
2019/9/6,2.245,2.7692,2.733,--,0.76,开放申购|开放赎回
2019/8/30,2.228,2.7482,2.716,--,1.55,开放申购|开放赎回
2019/8/23,2.194,2.7063,2.682,--,0.69,开放申购|开放赎回
2019/8/16,2.179,2.6878,2.667,--,2.78,开放申购|开放赎回
2019/8/9,2.12,2.615,2.608,--,-1.94,开放申购|开放赎回
2019/8/2,2.162,2.6668,2.65,--,-1.82,开放申购|开放赎回
2019/7/26,2.202,2.7162,2.69,--,2.8,开放申购|开放赎回
2019/7/19,2.142,2.6421,2.63,--,0.56,开放申购|开放赎回
2019/7/12,2.13,2.6273,2.618,--,-0.75,开放申购|开放赎回
2019/7/5,2.146,2.6471,2.634,--,0.75,开放申购|开放赎回
2019/6/28,2.13,2.6273,2.618,--,1.76,开放申购|开放赎回
2019/6/21,2.582,2.582,2.582,--,3.95,暂停大额申购|开放赎回
2019/6/14,2.484,2.484,2.484,--,1.8,暂停大额申购|开放赎回
2019/6/6,2.44,2.44,2.44,--,-4.39,暂停大额申购|开放赎回
2019/5/31,2.552,2.552,2.552,--,3.91,暂停大额申购|开放赎回
2019/5/24,2.456,2.456,2.456,--,-3.15,暂停大额申购|开放赎回
2019/5/17,2.536,2.536,2.536,--,-0.28,开放申购|开放赎回
2019/5/10,2.543,2.543,2.543,--,-3.05,开放申购|开放赎回
2019/4/30,2.623,2.623,2.623,--,1.51,开放申购|开放赎回
2019/4/26,2.584,2.584,2.584,--,1.14,开放申购|开放赎回
2019/4/19,2.555,2.555,2.555,--,1.71,开放申购|开放赎回
2019/4/12,2.512,2.512,2.512,--,-1.84,开放申购|开放赎回
2019/4/4,2.559,2.559,2.559,--,4.49,开放申购|开放赎回
2019/3/29,2.449,2.449,2.449,--,4.48,开放申购|开放赎回
2019/3/22,2.344,2.344,2.344,--,2.58,开放申购|开放赎回
2019/3/15,2.285,2.285,2.285,--,2.33,开放申购|开放赎回
2019/3/8,2.233,2.233,2.233,--,2.38,开放申购|开放赎回
2019/3/1,2.181,2.181,2.181,--,4.01,开放申购|开放赎回
